ZAT,ses_cat,ses_cat_r,clus,injury,death,damage,total,walk_pubt,pop_density,pcta_Collector,pcta_Local,pcta_other,MEANIPM
188,3,3,2,9,1,0,10,33305.193939540004,4058688.545101042,40.37345130607986,17.432484889091597,20.279048383262808,2.371
189,3,3,2,16,1,0,17,41006.844687159995,4195542.268663653,44.95763960934433,27.173342621707132,18.55768861505571,3.35
190,2,2,2,28,1,0,29,63613.66961106,4652190.6415819945,26.90567829598713,56.846001276554425,1.0549368592054038,2.563
191,3,3,2,9,1,0,10,37390.14315867999,4216698.19470215,29.90619118520561,52.09870249543367,17.99510631936073,1.817
192,3,3,1,47,3,0,50,159929.8963976141,2306331.9007383143,9.839480800129708,39.1031350927861,33.673050677813535,2.982
194,2,2,2,32,1,0,33,112486.38789011998,4837097.041044763,33.85843608809795,59.489602571366575,6.651961340535466,9.153
195,2,2,2,16,2,0,18,52585.084907408,3678372.1829737043,30.828480479134075,61.54899187400677,6.905376586602621,4.866
196,2,2,2,51,2,0,53,17983.006115160002,3707499.4425779185,33.85193824512377,50.415294521286626,7.751282463292208,4.135
197,2,2,2,36,2,0,38,31691.771486209993,4912058.625933525,21.266437362091594,60.977161780088515,4.612658821560986,4.733
198,3,3,1,14,1,0,15,64133.20286713,3445529.0809214595,22.083094537515638,65.9801280015698,11.936777460914577,1.545
199,3,3,2,34,3,0,37,71926.39460901004,2610086.1119179996,34.88548503582276,33.360322489043746,3.975895531063457,2.333
200,3,3,2,20,0,0,20,39751.34912961999,3472366.5521338074,41.65953741301242,40.32320162605818,5.745639760020608,6.219
201,3,3,3,22,2,0,24,32323.979199360005,1278507.2960625254,34.887458614615156,33.345056542469656,6.670435702106262,6.379
202,3,3,2,20,0,0,20,30480.948849279997,3066000.6065912456,12.915790349408432,49.587140495492584,3.428521139421168,2.289
203,3,3,2,31,1,0,32,20177.74682786,3391372.232588242,40.84486561403941,47.32828891198383,2.4513047488122357,2.6
204,3,3,2,36,4,0,40,33089.741976189995,2477376.290335815,30.27861016549012,42.99499689353779,3.4800260876467206,2.743
205,3,3,2,2,1,0,3,7915.919270520002,2610415.958589052,21.073869270908673,27.95795180259099,3.270329526428604,2.73
206,3,3,2,5,1,0,6,22747.90126213,2946749.4647801663,28.684060326106987,38.834759872244064,1.9606379935202811,4.471
207,3,3,2,31,4,0,35,39647.535326688,2643995.5237770607,13.621981420726387,46.771511878509195,0.2605989918191029,6.085
208,3,3,2,23,6,0,29,26221.674404579993,1969796.4476756314,10.356212068087881,32.18441141179472,0.4088964452974082,4.282
209,3,3,2,10,1,0,11,8508.37569772,2705615.1116966614,16.27931404505578,40.124363110774866,1.6743070763574848,3.616
210,3,3,2,11,1,0,12,7746.5804311659995,2697724.588177624,18.61754489860072,41.51733810480726,0.9691354619237831,3.977
211,3,3,2,4,0,0,4,16435.50521067,2281393.684528293,17.859493370873412,43.71040493717703,0.34633123681065286,3.142
212,3,3,2,33,1,0,34,21435.92938554,3313879.182516272,29.707627453478203,50.14577391826671,1.0982287132504287,3.348
213,3,3,2,10,0,0,10,27893.883249420003,1274085.8843562484,36.95591158526279,21.150522895871642,1.5235286515191917,14.699
215,4,4,2,12,3,0,15,30409.562328676002,1942052.0035206857,25.128052336220723,19.509539329699958,4.796443626322368,1.854
216,3,3,4,21,3,0,24,20669.138606899993,2764712.2248747163,27.573220835572833,35.19127090648045,0.10302508035070751,3.123
217,3,3,4,22,1,0,23,19263.27691291,1904031.8205631294,19.6800906991572,55.94250380603075,0,3.647
218,4,4,2,16,3,0,19,71337.85102978002,2834644.6772739915,29.316498275580237,37.81799531829097,6.3122734606813715,1.062
219,4,4,1,4,0,0,4,8867.046237913,0,7.508808980071835,5.031409062161119,7.782204614897946,0
220,3,3,2,3,2,0,5,10931.081714955004,1236445.4781122296,13.66648044958843,20.713869057248033,0.46437099238666274,0.711
221,3,3,4,8,1,0,9,4540.457361430001,1784581.9290416315,34.13197830485031,45.70786938311573,6.903200026852967,1.989
222,3,3,4,15,3,0,18,25928.503560721998,1390544.7667600717,24.230857250710873,28.81372419928881,2.632943219831291,4.086
223,3,3,4,14,0,0,14,10689.749529100001,890282.5912621738,30.344048204998046,21.564890340623556,0.4489844818238794,5.658
224,3,3,4,5,1,0,6,10103.867295020002,1063206.702301527,21.087023980954612,26.792023713609602,0,1.858
225,3,3,4,16,5,0,21,10629.821995832,1316340.2597318455,27.101727899930246,22.564064577226638,0,2.759
