ZAT,pop_total_2018,pop60plus_2018,n_manzanas,pct60plus
450,7153,962,35,13.448902558367118
451,340,54,2,15.882352941176471
452,8793,1073,41,12.202888661435233
453,354,27,12,7.627118644067797
454,2303,321,23,13.938341293964394
455,822,120,15,14.598540145985401
456,2121,370,10,17.444601603017446
457,197,13,12,6.598984771573604
458,1449,278,18,19.185645272601793
459,1687,259,32,15.352697095435685
460,5059,814,19,16.090136390591027
461,1096,183,10,16.697080291970803
462,9904,1388,35,14.014539579967689
463,2772,448,13,16.161616161616163
464,2881,516,18,17.91044776119403
465,4600,463,8,10.065217391304348
466,5104,770,22,15.086206896551724
467,1043,203,6,19.463087248322147
468,2824,513,29,18.165722379603398
469,1515,266,10,17.557755775577558
470,5504,555,26,10.08357558139535
471,3977,486,20,12.220266532562233
472,8066,1091,52,13.52591123233325
473,4027,535,29,13.285324062577601
474,2622,460,22,17.54385964912281
475,1980,364,17,18.383838383838384
476,586,112,10,19.112627986348123
477,2328,437,18,18.77147766323024
479,46,9,1,19.565217391304348
480,84,1,2,1.1904761904761905
481,2281,302,15,13.23980710214818
482,3807,510,28,13.396375098502759
483,930,128,11,13.763440860215054
484,747,106,6,14.190093708165998
485,3786,468,40,12.361331220285262
486,4273,562,37,13.15235197753335
487,6105,660,42,10.81081081081081
488,3429,346,26,10.090405365995917
489,442,38,4,8.597285067873303
490,4084,440,24,10.773751224289912
491,729,105,5,14.40329218106996
492,6107,750,46,12.280989028983134
493,545,52,4,9.541284403669724
494,1984,363,20,18.296370967741936
495,9,0,1,0
496,2613,223,4,8.534251817833907
497,886,159,10,17.945823927765236
498,1424,276,7,19.382022471910112
499,2805,526,23,18.75222816399287
500,10811,2055,75,19.008417352696327
501,4987,835,62,16.74353318628434
502,11960,1855,70,15.510033444816054
503,3634,770,44,21.18877270225647
504,1701,266,13,15.637860082304528
505,306,69,1,22.54901960784314
506,8295,1737,58,20.94032549728752
507,9506,1646,46,17.315379760151483
508,2288,453,16,19.79895104895105
509,13776,2577,87,18.70644599303136
510,3998,662,23,16.558279139569784
511,5377,911,33,16.94253301097266
512,4453,780,75,17.51628115876937
513,7598,1306,46,17.18873387733614
514,3434,613,57,17.850902737332557
515,9579,1409,40,14.709259839231652
516,4933,758,34,15.365903101560916
517,23667,3164,142,13.36882579118604
518,2215,411,11,18.55530474040632
519,17133,2608,107,15.222086032802194
520,17519,2882,87,16.450710657000972
521,3492,660,26,18.900343642611684
522,13155,2504,86,19.03458760927404
523,11010,2159,82,19.6094459582198
524,4439,882,31,19.86933994142825
525,11906,1954,61,16.411893163111035
526,10552,1618,57,15.333586050037907
527,31246,2214,183,7.085706970492223
528,22768,1963,114,8.621749824314827
529,34986,2509,230,7.171440004573258
530,27636,1996,21,7.222463453466493
531,29873,3584,157,11.997455896629063
532,13127,1652,70,12.584748990629999
533,17251,3073,44,17.813460089270187
534,6648,1038,45,15.613718411552346
535,40472,4504,230,11.128681557620084
536,10206,2026,52,19.85106799921615
537,11346,1584,49,13.960867265996827
538,10339,1686,80,16.30718638166167
539,8551,1042,38,12.18570927376915
540,6979,923,38,13.225390457085542
542,12419,2134,74,17.183348095659877
543,22082,3120,112,14.129154967847116
544,34012,4483,189,13.180642126308362
545,4784,773,39,16.15802675585284
546,19732,3247,109,16.455503750253396
547,12315,1803,86,14.64068209500609
548,16650,1545,83,9.27927927927928
549,14468,1115,74,7.7066629803704725
550,31783,2715,190,8.542302488751849
551,43161,3470,208,8.039665438706239
552,12688,1194,68,9.41046658259773
553,35197,2068,75,5.875500752905078
554,31567,2460,171,7.792948332118985
556,21172,1580,87,7.462686567164179
557,42257,3101,77,7.338429136001136
558,26599,1231,12,4.627993533591488
559,83,7,2,8.433734939759036
560,59452,4532,356,7.622956334521967
561,5675,363,76,6.39647577092511
562,44642,5143,246,11.520541194390931
563,21154,1932,172,9.133024487094639
564,11283,1100,62,9.749180182575556
565,18434,2016,138,10.936313334056635
566,13037,1809,86,13.875891692874127
567,14074,2157,117,15.326133295438398
568,6472,907,43,14.014215080346107
569,49500,5367,229,10.842424242424242
570,17090,1245,18,7.284961966062024
571,17312,2062,92,11.910813308687615
572,18447,2323,83,12.592833523066082
573,12835,1298,57,10.112972341254382
574,8518,1235,43,14.498708617046255
575,11221,1570,61,13.991622850013368
576,14104,1946,67,13.797504254112308
577,918,104,2,11.328976034858387
578,4834,865,16,17.894083574679353
579,896,148,8,16.517857142857142
580,4241,863,15,20.348974298514502
581,1503,253,11,16.833000665335994
582,3469,622,28,17.93023926203517
583,3838,536,23,13.965607087024491
